name,genus,species
Northern Bobwhite, Colinus,virginianus
Killdeer,Charadrius,vociferus
Whip-Poor-will,Anstrotomus,vociferus
Black-capped Chickadee,Poecile,atricapillus
Northern Flicker,Colaptes,auratus
Eastern Phoebe,Sayornis,phoebe
Grey Catbird,Dumetella,carolinensis
Veery,Catharus,fuscescens
Bobolink,Dolichonyx,oryzivorus 
Common Loon,Gavia,immer
White-throated toucanet,Aulacorhynchus,albivitta
Greater prairie chicken,Tympanuchus,cupido
Black-legged Kittiwake,Rissa,tridactyla
Common Murre,Uria,aalge
California Quail,Callipepla,californica
Great Kiskadee,Pitangus,sulphuratus
Willet,Tringa,semipalmata
Pauraque,Nycidromus,albicollis
Chuck-willâ€™s widow,Antrostomus,carolinensis
Dickcissel,Spiza,americana
Smew,Mergellus,albellus
Rufous-sided Crake,Laterallus,melanophaius
Great Skua,Stercorarius,skua
Black-tailed Godwit,Limosa,limosa
Richards Pipit,Anthus,richardi
House Crow,Corvus,splendens